Protocol	X-coordinate	Y-coordinate
ARP	37.280811	0.004934
ARP	37.906318	0.004821
ARP	38.531826	0.004705
ARP	39.157333	0.004586
ARP	39.782840	0.004465
ARP	40.408348	0.004343
ARP	41.033855	0.004219
ARP	41.659362	0.004096
ARP	42.284870	0.003974
ARP	42.910377	0.003854
ARP	43.535884	0.003736
ARP	44.161392	0.003621
ARP	44.786899	0.003511
ARP	45.412406	0.003405
ARP	46.037914	0.003305
ARP	46.663421	0.003211
ARP	47.288928	0.003123
ARP	47.914436	0.003041
ARP	48.539943	0.002967
ARP	49.165450	0.002899
ARP	49.790957	0.002838
ARP	50.416465	0.002783
ARP	51.041972	0.002735
ARP	51.667479	0.002693
ARP	52.292987	0.002656
ARP	52.918494	0.002625
ARP	53.544001	0.002598
ARP	54.169509	0.002576
ARP	54.795016	0.002557
ARP	55.420523	0.002541
ARP	56.046031	0.002528
ARP	56.671538	0.002516
ARP	57.297045	0.002506
ARP	57.922553	0.002497
ARP	58.548060	0.002488
ARP	59.173567	0.002479
ARP	59.799075	0.002470
ARP	60.424582	0.002459
ARP	61.050089	0.002448
ARP	61.675596	0.002434
ARP	62.301104	0.002418
ARP	62.926611	0.002400
ARP	63.552118	0.002380
ARP	64.177626	0.002356
ARP	64.803133	0.002329
ARP	65.428640	0.002298
ARP	66.054148	0.002265
ARP	66.679655	0.002227
ARP	67.305162	0.002185
ARP	67.930670	0.002140
ARP	68.556177	0.002091
ARP	69.181684	0.002037
ARP	69.807192	0.001981
ARP	70.432699	0.001920
ARP	71.058206	0.001856
ARP	71.683714	0.001789
ARP	72.309221	0.001720
ARP	72.934728	0.001648
ARP	73.560235	0.001573
ARP	74.185743	0.001497
ARP	74.811250	0.001420
ARP	75.436757	0.001342
ARP	76.062265	0.001264
ARP	76.687772	0.001186
ARP	77.313279	0.001109
ARP	77.938787	0.001033
ARP	78.564294	0.000958
ARP	79.189801	0.000885
ARP	79.815309	0.000815
ARP	80.440816	0.000747
ARP	81.066323	0.000682
ARP	81.691831	0.000620
ARP	82.317338	0.000561
ARP	82.942845	0.000506
ARP	83.568353	0.000454
ARP	84.193860	0.000406
ARP	84.819367	0.000362
ARP	85.444875	0.000320
ARP	86.070382	0.000283
ARP	86.695889	0.000248
ARP	87.321396	0.000217
ARP	87.946904	0.000189
ARP	88.572411	0.000164
ARP	89.197918	0.000142
ARP	89.823426	0.000122
ARP	90.448933	0.000104
ARP	91.074440	0.000089
ARP	91.699948	0.000075
ARP	92.325455	0.000064
ARP	92.950962	0.000053
ARP	93.576470	0.000045
ARP	94.201977	0.000037
ARP	94.827484	0.000031
ARP	95.452992	0.000026
ARP	96.078499	0.000021
ARP	96.704006	0.000017

DNS	0.173772	0.044194
DNS	0.615382	0.044440
DNS	1.056991	0.044540
DNS	1.498601	0.044494
DNS	1.940211	0.044300
DNS	2.381820	0.043962
DNS	2.823430	0.043483
DNS	3.265040	0.042867
DNS	3.706649	0.042121
DNS	4.148259	0.041252
DNS	4.589869	0.040268
DNS	5.031478	0.039178
DNS	5.473088	0.037993
DNS	5.914698	0.036724
DNS	6.356307	0.035381
DNS	6.797917	0.033976
DNS	7.239527	0.032521
DNS	7.681136	0.031028
DNS	8.122746	0.029508
DNS	8.564356	0.027974
DNS	9.005965	0.026435
DNS	9.447575	0.024903
DNS	9.889185	0.023387
DNS	10.330794	0.021896
DNS	10.772404	0.020440
DNS	11.214014	0.019025
DNS	11.655623	0.017658
DNS	12.097233	0.016345
DNS	12.538843	0.015091
DNS	12.980452	0.013900
DNS	13.422062	0.012775
DNS	13.863672	0.011719
DNS	14.305282	0.010733
DNS	14.746891	0.009818
DNS	15.188501	0.008973
DNS	15.630111	0.008199
DNS	16.071720	0.007494
DNS	16.513330	0.006857
DNS	16.954940	0.006286
DNS	17.396549	0.005778
DNS	17.838159	0.005331
DNS	18.279769	0.004941
DNS	18.721378	0.004605
DNS	19.162988	0.004320
DNS	19.604598	0.004084
DNS	20.046207	0.003891
DNS	20.487817	0.003739
DNS	20.929427	0.003624
DNS	21.371036	0.003543
DNS	21.812646	0.003492
DNS	22.254256	0.003469
DNS	22.695865	0.003469
DNS	23.137475	0.003490
DNS	23.579085	0.003530
DNS	24.020694	0.003585
DNS	24.462304	0.003652
DNS	24.903914	0.003730
DNS	25.345523	0.003816
DNS	25.787133	0.003909
DNS	26.228743	0.004005
DNS	26.670352	0.004104
DNS	27.111962	0.004204
DNS	27.553572	0.004304
DNS	27.995181	0.004402
DNS	28.436791	0.004498
DNS	28.878401	0.004590
DNS	29.320010	0.004678
DNS	29.761620	0.004762
DNS	30.203230	0.004840
DNS	30.644839	0.004912
DNS	31.086449	0.004979
DNS	31.528059	0.005040
DNS	31.969668	0.005095
DNS	32.411278	0.005144
DNS	32.852888	0.005187
DNS	33.294497	0.005223
DNS	33.736107	0.005254
DNS	34.177717	0.005279
DNS	34.619326	0.005299
DNS	35.060936	0.005312
DNS	35.502546	0.005320
DNS	35.944155	0.005323
DNS	36.385765	0.005320
DNS	36.827375	0.005311
DNS	37.268984	0.005297
DNS	37.710594	0.005276
DNS	38.152204	0.005250
DNS	38.593813	0.005218
DNS	39.035423	0.005179
DNS	39.477033	0.005134
DNS	39.918642	0.005083
DNS	40.360252	0.005024
DNS	40.801862	0.004959
DNS	41.243471	0.004887
DNS	41.685081	0.004808
DNS	42.126691	0.004721
DNS	42.568300	0.004628
DNS	43.009910	0.004528
DNS	43.451520	0.004421
DNS	43.893129	0.004307
DNS	44.334739	0.004187
DNS	44.776349	0.004062
DNS	45.217958	0.003931
DNS	45.659568	0.003795
DNS	46.101178	0.003654
DNS	46.542787	0.003510
DNS	46.984397	0.003363
DNS	47.426007	0.003214
DNS	47.867616	0.003062
DNS	48.309226	0.002910
DNS	48.750836	0.002758
DNS	49.192445	0.002606
DNS	49.634055	0.002456
DNS	50.075665	0.002307
DNS	50.517274	0.002161
DNS	50.958884	0.002018
DNS	51.400494	0.001879
DNS	51.842103	0.001744
DNS	52.283713	0.001614
DNS	52.725323	0.001489
DNS	53.166932	0.001369
DNS	53.608542	0.001255
DNS	54.050152	0.001147
DNS	54.491761	0.001044
DNS	54.933371	0.000948
DNS	55.374981	0.000858
DNS	55.816590	0.000774
DNS	56.258200	0.000696
DNS	56.699810	0.000624
DNS	57.141419	0.000557
DNS	57.583029	0.000496
DNS	58.024639	0.000441
DNS	58.466248	0.000390
DNS	58.907858	0.000344
DNS	59.349468	0.000302
DNS	59.791077	0.000265
